"id","url","title","visit_count","typed_count","last_visit_time","hidden","favicon_id"
"1","https://accounts.google.com/ServiceLoginAuth","Gmail","33","0","13052298597738762","0","0"
"6","http://food.jaaga.us/","503 Service Unavailable","1","1","13050229527903559","0","0"
"9","http://192.168.3.1/","4G LTE CPE","0","0","13048839730862087","0","0"
"15","http://www.flipkart.com/","Online Shopping India - Shop Online for Books, Mobile Phones, Digital Cameras, Watches & More at Flipkart.com","11","6","13050566244948430","0","0"
"23","https://github.com/about","About","0","0","0","0","0"
"26","http://hikerpost.com/ib","Jaaga Study Idea Bubble : Log In","2","1","13046176646029307","0","0"
"30","http://www.meetup.com/","Find your people - Meetup","4","0","13052345900923590","0","0"
"35","http://192.168.1.1/index.asp","4G LTE CPE","1","0","13045830541460090","0","0"
"39","http://cli.learncodethehardway.org/book/ex2.html","Paths, Folders, Directories (pwd)","3","0","13046965629036748","0","0"
"47","http://mail.google.com/","","1","0","13046161279712765","0","0"
"51","https://svbtle.com/dashboard","Dashboard","88","1","13053021778258643","0","0"
"54","https://www.onlinesbi.com/","Welcome to OnlineSBI","30","23","13052986932228716","0","0"
"55","http://kanthi.me/","Akshay Kanthi","31","10","13053021702080764","0","0"
"58","https://gbstool.learningbydoingtools.com/login/index.cfm","My Modules","20","5","13052867556604833","0","0"
"59","http://learnpythonthehardway.org/book/ex1.html","Learn Python","4","2","13047241108716318","0","0"
